time,soma,dend,iampar,inmdar
0,-19000,-61,-0,-0
2.83674e-06,-18960.3,-61,-0,-0
5.67347e-06,-18928.1,-61,-0,-0
1.00993e-05,-18886.6,-61,-0,-0
1.67619e-05,-18839.5,-61,-0,-0
2.98451e-05,-18776.8,-61,-0,-0
4.29284e-05,-18737.4,-61,-0,-0
5.60116e-05,-18708.4,-61,-0,-0
6.90948e-05,-18684.2,-61,-0,-0
9.12742e-05,-18647.7,-61,-0,-0
0.000113454,-18615.6,-61,-0,-0
0.000151066,-18566.1,-61,-0,-0
0.000188679,-18521.2,-61,-0,-0
0.000252128,-18450.9,-61,-0,-0
0.000315576,-18385.5,-61,-0,-0
0.000420416,-18284.2,-61,-0,-0
0.000525257,-18189.8,-61,-0,-0
0.000703551,-18040.9,-61,-0,-0
0.000881846,-17904.5,-61,-0,-0
0.00106014,-17778.4,-61,-0,-0
0.00137275,-17576.4,-61,-0,-0
0.00168536,-17393.8,-61,-0,-0
0.0022009,-17123.3,-61,-0,-0
0.00271645,-16879.2,-61,-0,-0
0.00323199,-16653.6,-61,-0,-0
0.00374753,-16442.3,-61,-0,-0
0.00426308,-16242.7,-61,-0,-0
0.00510111,-15938.6,-61,-0,-0
0.00593914,-15654.4,-61,-0,-0
0.00677717,-15385.9,-61,-0,-0
0.00807336,-14996.2,-61,-0,-0
0.00936955,-14632.3,-61,-0,-0
0.0106657,-14290,-61,-0,-0
0.0131126,-13692.8,-61,-0,-0
0.0155595,-13149.6,-61,-0,-0
0.0180063,-12652.2,-61,-0,-0
0.0204532,-12193.7,-61,-0,-0
0.0229001,-11768.2,-61,-0,-0
0.0253469,-11371.6,-61,-0,-0
0.0291724,-10802.6,-61,-0,-0
0.0329978,-10287.9,-61,-0,-0
0.0368233,-9820.32,-61,-0,-0
0.0406488,-9393.46,-61,-0,-0
0.0444742,-9002.2,-61,-0,-0
0.0507366,-8427.9,-61,-0,-0
0.056999,-7923.47,-61.0001,-0,-0
0.0632614,-7477.67,-61.0001,-0,-0
0.0695238,-7081.42,-61.0003,-0,-0
0.0757862,-6727.31,-61.0007,-0,-0
0.0859411,-6227.37,-61.0018,-0,-0
